"b'LocalTime=10:54:18.085,Message=Imbalance,MarketTime=10:54:18.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=81,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2744,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:20.094,Message=Imbalance,MarketTime=10:54:20.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=81,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2744,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:22.083,Message=Imbalance,MarketTime=10:54:22.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=95,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2744,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:24.077,Message=Imbalance,MarketTime=10:54:24.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=94,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2745,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:26.077,Message=Imbalance,MarketTime=10:54:26.309,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=102,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2745,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:28.076,Message=Imbalance,MarketTime=10:54:28.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=152,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2745,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:30.082,Message=Imbalance,MarketTime=10:54:30.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=148,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2745,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:32.108,Message=Imbalance,MarketTime=10:54:32.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=148,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2745,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:34.082,Message=Imbalance,MarketTime=10:54:34.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.000,Volume=149,Source=NSDQ,AuctionPrice=38.000,ContinuousPrice=38.000,PairedVolume=2745,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:36.086,Message=Imbalance,MarketTime=10:54:36.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=51,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2745,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:38.077,Message=Imbalance,MarketTime=10:54:38.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=51,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2745,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
"b'LocalTime=10:54:40.079,Message=Imbalance,MarketTime=10:54:40.310,Side=B,Type=H,Status= ,Symbol=AMV.NQ,Price=38.180,Volume=45,Source=NSDQ,AuctionPrice=38.180,ContinuousPrice=38.180,PairedVolume=2745,MktOrdVolume=0,MktOrdSide=0,NearIndicativeClosingPx=0,FarIndicativeClosingPx=0,PxVariation=0\n'"
