Ticker,Company,Sector,Industry,Country,Market Cap,ATR,Prev Close,Open,High,Low
AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA,46.11M,0.07,0.71,,,
AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USA,833.51M,2.17,25.95,,,
AFIN,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,833.61M,0.31,7.82,,,
AFINO,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,-,0.15,25,,,
AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,588.43M,0.47,6.52,,,
AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services,USA,28.60B,15.97,119.95,,,
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,2.17B,1.01,23.47,,,
AGCUU,Altimeter Growth Corp.,Financial,Shell Companies,USA,-,1.06,18,,,
AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,667.77M,0.19,3.44,,,
AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA,103.88M,0.14,2.03,,,
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3.31B,2.27,47.47,,,
AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,376.31M,0.46,7.63,,,
AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong,349.24M,0.51,15.86,,,
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,8.78B,0.21,16.14,,,
AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,259.78M,0.1,2.94,,,
AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,124.33M,0.25,4.74,,,
AGYS,"Agilysys, Inc.",Technology,Software - Application,USA,1.06B,1.81,44.88,,,
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,0.17,47.24,,,
AHACU,Alpha Healthcare Acquisition Corp.,Financial,Shell Companies,USA,-,0.16,10.8,,,
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA,3.65B,1.82,38,,,
AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA,23.81M,0.69,6.65,,,
AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,1.39,98.57,,,
