Ticker,Quantity,Market
XLE,1000000,20
XLF,1000000,20
XLI,1000000,20
XLK,1000000,20
XLP,1000000,20
XLRE,1000000,20
XLU,1000000,20
XLV,1000000,20
XLY,1000000,20
XME,1000000,20
XNTK,1000000,20
XOP,1000000,20
XPH,1000000,20
XSD,281200,20
XSOE,1000000,20
XTJL,102200,20
XTL,284000,20
XTN,1000000,20
YINN,390200,20
YOLO,268400,20
ZDGE,1000000,20
